frequency_matrix_verb,uid_iphrase,m_verb,word_form_similarity,text,uid_idoc,matrix_subject1v3,position_matrix_verb,subject_form_CC_subject1v4,matrix_subject1v2,subject_form_CC_subject1v2,length_matrix_verb_to_CC,length_CC_remainder,uid_jaeger,matrix_subject1v4,uid_avgStep,mverb,uid_amp,uid_var,that_omission,length_CC_onset,subject_form_CC_subject1v3,frequency_CC_subject_head,uid_biggestStep
-8.576617852581057,0.0138325069768139,1,0," Of interest here, studies suggest that, despite the difficulties in acquiring L2 grammar, adult learners can approximate native-like levels of use and neurocognitive processing [12]–[15].
",0.0089237391948699,0,5,1,0,0,-14,0,3.4339872044851463,1,0.0100580311845988,suggest,-0.0003050789237022,0.0022891858262922,0,0,0,-11.317457876506259,0.0341816321015358
-8.966082619342782,-0.0504531145228871,1,0," (Note that we do not consider case studies, purely observational data, or research on L2s acquired by children; for a comprehensive review, see [16]).
",-0.0495344400405883,0,1,1,0,0,-5,0,1.6582280766035324,1,0.002491127109515,Note,8.920952677726746e-05,-0.000577500278686,0,0,0,-7.967553789231654,-0.0016298480331897
-8.576617852581057,0.0132691543416453,1,0," Although attrition may take place within the first few years, some studies suggest that it then appears to level off, with no further losses occurring [17], [18].
",0.0025892853736877,0,13,0,0,1,-3,0,3.4339872044851463,1,0.0187270477584134,suggest,0.0001324843615293,0.006081336683206,0,1,0,-8.226415423147943,0.0148262213915586
-7.405434871078112,0.002132808647695,1,0," Get feedback from researchers on possible subjects, based on the knowledge and skills they feel librarians need;
",0.0066017359495162,1,15,1,0,0,-1,0,3.2188758248682006,0,0.001125646500211,feel,0.018740214407444,0.0051895321683003,1,1,0,-7.328473829941984,0.0145983397960662
-8.544869154266477,-0.0040468753578433,1,0," With these in hand, we will design the curriculum of clinics, based on the method of 'constructive alignment' (Biggs et al., 2011), to make sure that the intended learning objectives and the teaching/learning activities stay aligned.
",0.0097313225269317,0,32,1,0,0,-3,0,1.3862943611198906,1,-0.0027583772605549,sure,0.0002676639705896,-0.0008781272002428,0,10,0,-8.514097495599724,0.0195699725300073
-7.5679538005758875,0.0326233992097424,1,0," His mother wrote, ""He has no indisposition that I know of but love, desperate love, the worst of all maladies in my opinion. In short, the boy is distractedly in love with Miss Chaworth."" [6]
",-0.0579288005828857,0,2,0,0,0,-1,0,3.3440389678222067,1,0.0020596584069485,wrote,0.0010205656290054,0.0030887140200584,1,1,1,-5.497374946153897,-0.0108883827924728
-6.654018782394191,-0.0295598854056813,1,0," You're so stupid thinking I spent the night.
",-0.0209498256444931,0,4,0,0,0,-1,0,1.9892904446855384,1,0.0084325334565206,thinking,-0.0011900067329406,0.0016660985877981,1,1,0,-8.544869154266477,-0.0624146163463592
-6.654018782394191,0.0168007881295951,1,0," She thinks I spent the night in my jeans —
",0.0080364346504211,1,1,0,0,0,-1,0,1.9892904446855384,0,0.0121230746102001,thinks,0.0005326829850673,0.0070578345312224,1,1,0,-8.544869154266477,0.0117009244859218
-6.1641662820084795,-0.0311233521646095,1,0," If I did spend the night, and I was trying to lie, I would give up, cause then I wouldn't care, cause I knew I deserved it.
",-0.0276545882225036,0,28,0,0,0,-1,0,2.901999795891284,0,0.0090743436798954,knew,-0.0004643276333808,0.0014939955733906,1,1,0,-10.624310695946313,0.0548361465334892
-7.328473829941984,0.0115870884473719,1,0," I don't know why you couldn't wake me up in the morning, to tell me that you were going.
",0.0039904713630676,0,16,1,0,0,-4,0,2.890371757896165,1,0.0117599050643352,tell,-0.0007126126438379,0.0022808107160932,0,0,0,-6.08101591367631,2.0584091544151303e-05
