matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
4,-9.066166077899764,0,-3.4125694778058655,4,2,0,4,-3,1,10,138
3,-10.911992768398093,0,-12.010605057066204,4,45,0,0,-1,0,10,138
4,-10.06469490801089,0,-8.609407675404048,4,6,0,2,-3,1,0.3364722366212129,87
4,-8.609407675404048,0,-5.879378567583063,4,10,0,2,-2,0,10,87
4,-3.4125694778058655,0,-8.181963660577109,4,5,0,2,-4,1,3.8501476017100584,87
4,-8.181963660577109,0,-5.879378567583063,4,10,0,3,-3,1,10,87
4,-8.752508519044722,0,-7.068962634456899,4,9,0,5,-3,1,2.5649493574615367,139
4,-7.068962634456899,0,-7.090624131238079,4,16,0,5,-4,0,3.367295829986474,139
4,-8.832551226718259,0,-3.4125694778058655,4,36,0,1,-3,1,10,7
4,-6.649312891356779,0,-8.249404941372642,4,30,0,2,-3,1,1.0045833390198333,7
4,-8.609407675404048,0,-4.6980515589636065,1,17,0,1,-3,1,10,7
4,-8.576617852581057,0,-4.6980515589636065,4,15,0,2,-3,1,0.9490805546971459,49
3,-10.218845587838148,0,-8.226415423147943,4,4,0,7,-3,1,0.6931471805599453,49
3,-7.310124691273788,0,-8.297032990361895,4,8,0,2,-3,1,2.1400661634962708,169
3,-7.310124691273788,0,-3.4125694778058655,4,1,0,2,-3,1,10,169
3,-8.791729232198003,0,-11.317457876506259,4,1,0,2,-3,1,1.8325814637483102,169
3,-8.791729232198003,0,-8.752508519044722,3,1,0,1,-22,0,1.8325814637483102,169
3,-8.752508519044722,0,-3.4125694778058655,4,26,0,2,-3,1,10,169
4,-10.218845587838148,0,-3.4125694778058655,4,28,0,2,-3,1,1.6094379124341003,169
4,-10.218845587838148,0,-7.385632243781933,2,28,0,1,-6,0,10,169
3,-7.385632243781933,0,-3.4125694778058655,4,37,0,2,-2,0,10,169
3,-6.999969762969948,0,-8.226415423147943,4,7,0,7,-3,1,2.17742195004004,169
4,-7.603885809801951,0,-10.911992768398093,3,8,0,1,-8,0,10,169
3,-12.010605057066204,0,-6.415893677464364,4,1,0,16,-3,1,10,156
3,-8.64330922707973,0,-6.415893677464364,4,1,0,13,-3,1,10,156
3,-12.010605057066204,0,-6.415893677464364,4,3,0,17,-24,1,3.8501476017100584,156
4,-6.999969762969948,0,-9.371547727450945,4,11,0,1,-3,1,2.17742195004004,156
4,-3.4125694778058655,0,-7.967553789231654,4,1,0,3,-4,1,3.8501476017100584,156
4,-7.967553789231654,0,-5.181892985424519,4,7,0,0,-3,0,0.9382696385929302,156
4,-8.181963660577109,0,-5.181892985424519,4,13,0,2,-3,1,10,156
3,-6.199464064089503,0,-3.4125694778058655,4,5,0,4,-3,1,0.9207918647549467,156
4,-7.603885809801951,0,-9.708019964072157,4,5,0,0,-11,0,10,156
4,-9.708019964072157,0,-7.556257760812696,4,17,0,3,-3,1,2.3025850929940455,156
4,-7.556257760812696,0,-8.226415423147943,4,23,0,0,-7,0,10,156
4,-8.576617852581057,0,-8.272935438782836,4,7,0,2,-3,1,0.9490805546971459,118
4,-7.967553789231654,0,-9.177391713009987,4,5,0,12,-3,1,3.349904087274605,118
4,-8.576617852581057,0,-7.090624131238079,4,32,0,6,-3,1,10,118
4,-8.576617852581057,0,-8.966082619342782,4,21,0,2,-3,1,0.9490805546971459,118
3,-8.576617852581057,0,-7.190323491461167,4,1,0,2,-3,1,1.9459101490553135,118
4,-4.6980515589636065,0,-7.899731192892893,4,1,0,1,-7,1,3.8501476017100584,118
