position_matrix_verb,length_matrix_verb_to_CC,length_CC_onset,length_CC_remainder,subject_form_CC_subject1v3,frequency_matrix_verb,matrix_subject1v2,frequency_CC_subject_head,uid_igauche2_2,uid_var,that_omission,uid_biggestStep,matrix_subject1v3,subject_form_CC_subject1v4,matrix_subject1v4,subject_form_CC_subject1v2,uid_jaeger,uid_iphrase,word_form_similarity,uid_idoc,genre,uid_amp,uid_avgStep
5,-14,0,0,0,-8.576617852581057,0,-11.317457876506259,0.2784547507762909,-2.904044397518014,0,-0.003292441368103,0,1,1,0,2.327277705584417,0.0849656478143655,0,0.1986481678041666,1,0.0290697924792766,0.0003260827539099
1,-5,0,0,0,-8.966082619342782,0,-7.967553789231654,-0.1992381066083908,-3.7940620038137496,0,0.0998952388763427,0,1,1,0,2.4203681286504293,-0.178691104383153,0,0.079236259714052,0,0.0678788423538208,-0.0001865415211348
13,-3,1,0,0,-8.576617852581057,0,-8.226415423147943,0.0274791829288005,-0.3322468858107612,0,-0.0009795352816581,0,0,1,1,2.327277705584417,0.0233571120952608,0,0.0274791829288005,1,0.0152203030884265,0.0004349756328498
15,-1,1,0,0,-7.405434871078112,0,-7.328473829941984,0.0585238859057426,-1.592636537061793,1,0.0056479573249816,1,1,0,0,3.7441421327889857,0.0134860443201286,0,0.1520827617797105,1,0.0,0.0016946075927643
32,-3,10,0,0,-8.544869154266477,0,-8.514097495599724,-0.0468840394169092,0.5022248478070139,0,0.0,0,1,1,0,1.455287232606842,-0.0500139031285217,0,-0.0468840394169092,0,0.0,0.0002826958802257
2,-1,1,0,1,-7.5679538005758875,0,-5.497374946153897,-0.1665896996855735,3.385512152890133,1,-0.0014349594712257,0,0,1,0,3.871201010907891,-0.1544315435335624,0,-0.1025998983231336,0,-0.0057847909629344,-2.046472183903948e-05
4,-1,1,0,0,-6.654018782394191,0,-8.544869154266477,0.1141357421875,-2.484196710049244,1,0.0,0,0,1,0,2.1210179685255763,0.0286533154660101,0,-0.1141357421875,1,0.0600951313972473,0.0016648058864203
1,-1,1,0,0,-6.654018782394191,0,-8.544869154266477,-0.1149742007255554,40.45224859866758,1,0.0388455539941787,1,0,0,0,2.1210179685255763,-0.0946492541581392,0,0.1149742007255554,1,-0.053748071193695,0.0010821473681264
28,-1,1,0,0,-6.1641662820084795,0,-10.624310695946313,-0.02299015969038,0.97130027021268,1,0.0,0,0,0,0,2.7692938263429285,0.0066856363099538,0,-0.02299015969038,0,0.0,1.4779242602262418e-06
16,-4,0,0,0,-7.328473829941984,0,-6.08101591367631,1.4901161193847656e-07,0.3434269953999873,0,0.0,0,1,1,0,2.19883358814192,-0.0003880816635986,0,1.4901161193847656e-07,0,0.0091421380639076,-0.0003404204760664
1,-1,1,0,1,-6.1641662820084795,0,-5.862136761148557,-0.0167785827070474,84.03687978039022,1,-0.0686424747109413,0,0,0,0,2.7692938263429285,0.0037016197152081,0,0.0167785827070474,0,-0.0740499719977378,0.0018712804963191
1,-1,1,0,1,-6.199464064089503,0,-9.302554855963994,-0.0725387539714574,-2.6473352998466595,1,-0.0415030568838119,1,0,0,0,1.5146925448447344,0.1044506545755125,0,0.1419542897492647,1,0.0622497200965881,0.000550695336782
7,-1,1,0,0,-6.654018782394191,0,-6.419618076555347,0.0652305949479341,1.1811437130269944,1,0.0006555914878845,0,0,0,1,2.1210179685255763,0.1125127903744578,0,0.1187710966914892,1,0.0198837518692016,0.0001573856461091
48,-3,5,0,0,-9.066166077899764,0,-5.497374946153897,-1.1175870895385745e-07,0.4554545484143162,0,-0.0284920930862426,0,1,1,0,2.3178525651248343,-0.0001238897532122,0,1.1175870895385745e-07,1,-0.0034583806991577,4.693839323002976e-05
20,-1,1,0,0,-6.1641662820084795,0,-12.010605057066204,-0.1124291718006134,-9.36717054117974,1,0.1188968569040298,0,0,0,1,2.7692938263429285,-0.123537177392454,0,-0.1124291718006134,0,0.3372631669044494,-0.000141125476131
20,-1,2,0,0,-8.347043410936557,0,-10.624310695946313,0.0150516889989376,0.6037970516307674,1,0.0,1,1,0,0,2.176433807667145,-0.1022576344441855,0,-0.1164369769394397,0,-0.0025586485862731,0.0005767588207328
3,-1,2,0,0,-6.654018782394191,0,-7.4673102747962,0.1533618383109569,3.896688066621813,1,-0.0127521157264709,0,1,0,0,2.1210179685255763,0.1081546684937515,0,0.1533618383109569,0,0.0149385258555412,9.518591613168746e-06
3,-3,2,0,0,-8.203942567295885,0,-7.5679538005758875,-0.0115703903138637,-0.3686105913550506,0,-0.0080984532833099,0,1,1,0,3.0265039322207445,-0.0033041538138474,1,-0.0115703903138637,1,-0.0029587987810373,-6.617548752877551e-06
4,-7,0,0,0,-6.542544915931073,0,-10.218845587838148,-0.0080988900735974,-6.184324264355226,0,0.0161021649837493,0,1,0,0,2.767293034665071,0.007294234870052,0,-0.0080988900735974,0,0.0159396491944789,0.0016625102106777
9,-1,2,0,0,-8.347043410936557,0,-10.401167144632103,-0.0268678702414035,1.2036858870539184,1,-0.0365334004163742,0,1,0,0,2.176433807667145,-0.0248457405280265,0,-0.0268678702414035,1,-0.000458369962871,-0.0002189389248264
1,-1,1,0,0,-6.654018782394191,0,-9.014872783512212,-0.0522659197449684,32.16120945756458,1,-0.0438397377729415,0,0,0,0,2.1210179685255763,-0.0452317663125301,0,0.0522659197449684,1,-0.037144660949707,-0.0006415555557978
1,-3,1,0,1,-8.347043410936557,0,-12.010605057066204,-0.1074824854731559,1.2415269000142557,0,-0.0192586705088615,0,0,0,0,2.176433807667145,0.0894276566447361,0,0.1074824854731559,0,-0.018214713782072,-7.355866643289719e-05
