matrix_subject1v2,matrix_subject1v3,matrix_subject1v4,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,subject_form_CC_subject1v4,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that_omission,uid,genre
0,0,1,-7.262941977769564,0,-8.891861025775487,0,0,1,18,0,0,3,1,2.19883358814192,0
0,0,1,-6.372711352565274,0,-11.056824740893484,0,0,1,4,0,0,-1,1,2.7692938263429285,0
0,0,1,-7.262941977769564,0,-5.4961431098779565,0,0,1,1,0,2,-2,1,2.19883358814192,0
0,0,1,-6.372711352565274,0,-5.926926025970411,0,0,1,3,0,14,-1,1,2.7692938263429285,0
0,0,1,-9.585008206335432,0,-11.056824740893484,0,0,1,5,0,0,-1,1,4.110873864173311,0
0,0,1,-7.262941977769564,0,-5.926926025970411,0,0,1,1,0,4,-2,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-8.146805985613524,0,0,1,2,0,3,-1,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-6.69009305125524,0,0,1,11,0,0,-1,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-6.69009305125524,0,0,1,10,0,4,-2,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-11.056824740893484,0,0,1,2,0,0,-1,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-5.926926025970411,0,0,1,2,0,9,-1,1,2.19883358814192,0
0,0,1,-6.440997260431405,0,-8.397564703960706,0,0,1,0,0,4,-2,1,4.952299717083292,0
0,0,1,-7.262941977769564,0,-8.397564703960706,0,0,1,2,0,3,-2,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-6.868252836005891,0,0,1,6,0,2,-2,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-7.641442724239372,0,0,1,2,0,2,-2,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-5.4961431098779565,0,0,1,0,0,2,-2,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-8.284236018653703,0,0,1,12,0,0,-1,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-8.284236018653703,0,0,1,2,0,0,-1,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-10.328586240522268,0,0,1,13,0,0,-1,1,2.19883358814192,1
0,0,1,-6.440997260431405,0,-8.284236018653703,0,0,1,2,0,0,-1,1,4.952299717083292,0
0,0,1,-6.972049629687534,0,-8.284236018653703,0,0,1,5,0,0,-1,1,3.4279955748168796,1
0,0,1,-6.440997260431405,0,-8.284236018653703,0,0,1,2,0,0,-1,1,4.952299717083292,0
0,0,1,-7.262941977769564,0,-9.72559015695662,0,0,1,3,0,2,-2,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-10.751443091342303,0,0,1,2,0,0,-2,1,2.19883358814192,0
0,0,1,-7.262941977769564,0,-6.31999992229373,0,0,1,2,0,0,-1,1,2.19883358814192,1
0,0,1,-6.372711352565274,0,-5.4961431098779565,0,1,0,4,0,1,-1,1,2.7692938263429285,0
0,0,0,-7.553844664921386,0,-11.210975420720743,0,0,1,6,0,0,-2,1,3.7441421327889857,1
0,0,1,-7.727174510523377,0,-11.904122601280688,0,1,0,2,0,1,-3,0,2.972975286431375,0
0,0,0,-8.158547803490206,0,-6.918235476873626,0,1,0,12,0,1,-3,0,2.07159836421881,0
0,0,0,-8.158547803490206,0,-6.372051504306426,0,0,1,2,0,0,-4,0,2.07159836421881,0
0,0,0,-8.633287037481775,0,-6.549897602794355,0,0,1,1,0,0,-1,1,1.2124474313169082,0
0,0,1,-7.727174510523377,0,-10.604839617150427,0,0,1,4,0,0,-1,1,2.972975286431375,0
0,0,1,-7.262941977769564,0,-6.635405704508942,0,0,1,16,0,0,5,1,2.19883358814192,0
0,0,1,-8.80553294228699,0,-8.348774539791274,0,0,1,22,0,0,-4,0,3.0985896589936988,1
0,1,0,-8.158547803490206,0,-6.549897602794355,0,0,1,9,0,0,-5,0,2.07159836421881,1
0,0,0,-7.553844664921386,0,-7.043019041155396,0,0,1,3,0,0,-1,1,3.7441421327889857,1
0,0,1,-8.705449483730007,0,-9.688548885276273,0,0,1,4,0,0,-1,1,3.6041382256588457,0
0,0,1,-6.311892612530234,0,-10.923293348268961,0,0,1,8,0,0,-29,0,1.5146925448447344,0
0,0,1,-7.863999593225226,0,-11.498657493172523,0,0,1,10,0,0,-3,0,5.1387352967235715,0
0,0,1,-7.262941977769564,0,-11.904122601280688,0,0,1,2,0,0,-24,0,2.19883358814192,0
0,0,1,-6.372711352565274,0,-8.158547803490206,0,0,1,3,0,1,-1,1,2.7692938263429285,1
0,0,1,-6.440997260431405,0,-13.695882070508743,0,0,1,17,0,0,-3,0,4.952299717083292,1
0,0,1,-8.158547803490206,0,-5.926926025970411,0,0,1,6,0,6,-1,1,2.07159836421881,0
0,0,1,-8.883697715136325,0,-12.309587709388852,0,0,1,5,0,0,-14,0,2.327277705584417,0
0,0,1,-9.196072400178478,0,-8.363163277243373,0,0,1,1,0,0,-5,0,2.4203681286504293,1
0,0,1,-8.883697715136325,0,-8.5838942821522,1,0,0,13,0,1,-3,0,2.327277705584417,1
0,0,1,-10.14053400901933,0,-6.918235476873626,0,0,1,25,0,11,-3,0,2.8622008809294686,0
0,1,0,-7.553844664921386,0,-6.918235476873626,0,0,1,15,0,1,-1,1,3.7441421327889857,1
0,0,1,-8.908390327726696,0,-8.531096096585228,0,0,1,32,0,10,-3,0,1.455287232606842,0
0,0,1,-7.878770910545539,0,-5.4961431098779565,0,1,0,2,0,1,-1,1,3.871201010907891,0
0,1,0,-7.878770910545539,0,-12.597269781840634,0,0,1,6,0,0,-1,1,3.871201010907891,1
0,0,1,-6.9114250078711,0,-8.775901144680619,0,0,0,4,0,1,-1,1,2.1210179685255763,1
0,1,0,-6.9114250078711,0,-8.775901144680619,0,0,0,1,0,1,-1,1,2.1210179685255763,0
0,0,0,-6.372711352565274,0,-10.700149796954753,0,0,0,28,0,1,-1,1,2.7692938263429285,1
0,0,0,-5.926926025970411,0,-7.571198679614538,0,0,1,12,0,0,-2,1,5.204006687076795,1
0,0,0,-5.926926025970411,0,-7.292307872573928,0,0,1,8,0,0,-1,1,5.204006687076795,1
0,0,0,-6.9114250078711,0,-5.4961431098779565,0,0,1,1,0,0,-2,1,2.1210179685255763,1
0,0,1,-7.262941977769564,0,-8.942291879402378,0,1,0,16,0,1,-1,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-8.775901144680619,0,0,1,9,0,0,-2,1,2.19883358814192,1
0,0,1,-7.262941977769564,0,-6.091984101986862,0,0,1,16,0,0,-4,0,2.19883358814192,1
0,0,0,-6.9114250078711,0,-6.549897602794355,0,0,1,1,0,0,-1,1,2.1210179685255763,0
0,0,1,-6.9114250078711,0,-11.904122601280688,0,0,1,10,0,0,-1,1,2.1210179685255763,0
0,0,0,-6.372711352565274,0,-5.926926025970411,0,1,0,1,0,1,-1,1,2.7692938263429285,1
0,1,0,-6.311892612530234,0,-9.585008206335432,0,1,0,1,0,1,-1,1,1.5146925448447344,1
0,1,0,-9.585008206335432,0,-10.230146167709016,0,0,1,5,0,0,-2,1,4.110873864173311,1
0,0,1,-6.9114250078711,0,-6.972049629687534,0,0,1,0,0,0,-1,1,2.1210179685255763,0
0,0,1,-6.665909158802357,0,-5.4961431098779565,0,0,0,0,0,1,-1,1,2.767293034665071,1
0,0,0,-6.9114250078711,0,-6.549897602794355,1,0,0,7,0,1,-1,1,2.1210179685255763,0
0,0,0,-6.9114250078711,0,-8.174421152646497,0,0,1,1,0,0,-1,1,2.1210179685255763,1
0,0,1,-8.813080147922372,0,-11.297986797710372,0,0,1,14,0,0,-2,1,2.3178525651248343,0
1,0,0,-7.262941977769564,0,-9.889219580738423,0,0,1,30,0,0,-1,1,2.19883358814192,0
0,0,1,-8.813080147922372,0,-5.4961431098779565,0,0,1,48,0,5,-3,0,2.3178525651248343,0
0,0,0,-6.372711352565274,0,-12.597269781840634,1,0,0,20,0,1,-1,1,2.7692938263429285,1
0,0,0,-9.253230814018426,0,-8.174421152646497,0,0,1,1,0,0,-1,1,2.1400661634962708,1
0,0,0,-9.253230814018426,0,-8.25346435998695,0,0,1,1,0,0,-1,1,2.1400661634962708,1
0,1,0,-8.223611396837269,0,-10.923293348268961,0,0,1,20,0,2,-1,1,2.1764338076671454,0
0,0,0,-6.9114250078711,0,-7.740044701043912,0,0,1,3,0,2,-1,1,2.1210179685255763,1
0,0,1,-8.589936596608162,1,-7.878770910545539,0,0,1,3,0,2,-3,0,3.0265039322207445,0
0,0,1,-6.311892612530234,0,-5.926926025970411,0,1,0,6,0,1,6,1,1.5146925448447344,0
0,0,0,-6.665909158802357,0,-10.477006245640542,0,0,1,4,0,0,-7,0,2.767293034665071,1
0,0,0,-8.223611396837269,0,-11.130932713047207,0,0,1,9,0,2,-1,1,2.1764338076671454,1
0,0,0,-6.9114250078711,0,-9.33917324381915,0,0,0,1,0,1,-1,1,2.1210179685255763,1
0,0,0,-8.223611396837269,0,-12.309587709388852,0,1,0,1,0,1,-3,0,2.1764338076671454,1
0,0,1,-6.311892612530234,0,-6.31999992229373,0,0,1,14,0,0,-1,1,1.5146925448447344,0
0,0,0,-5.926926025970411,0,-7.571198679614538,0,0,1,14,0,0,-2,1,5.204006687076795,1
0,0,1,-7.262941977769564,0,-8.232050265483133,0,0,1,3,0,3,-6,0,2.19883358814192,1
0,1,0,-10.987831869406532,0,-8.358343990807425,0,0,1,19,0,0,-2,1,2.70805020110221,0
