matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_avgStep,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0.0002075111111387,0,0,1,1,2,-11.78748303671764,0,1,-3,0,1,0
0,-8.041908238927158,0,0.0007122664509581,0,0,0,0,12,-6.801595912310578,0,1,-3,0,1,0
0,-8.041908238927158,1,0.0005027243657217,0,0,0,1,2,-6.255411939743378,0,0,-4,0,0,0
0,-8.688893377723941,1,0.0001302413013461,0,0,1,1,22,-8.232134975228226,0,0,-4,0,0,0
0,-8.041908238927158,1,0.0003436902147151,0,0,0,1,9,-6.433258038231307,0,0,-5,0,0,1
0,-8.588809919166959,1,0.0024925555997327,0,1,1,1,4,-9.571909320713225,0,0,-1,0,0,0
0,-6.195253047967186,1,0.0001696963234498,0,0,1,1,8,-10.806653783705913,0,0,-29,0,0,0
0,-7.747360028662178,1,0.0013254642147909,0,0,1,0,10,-11.382017928609475,0,0,-3,0,0,0
0,-7.146302413206516,1,0.0011443672400682,0,0,1,0,2,-11.78748303671764,0,0,-24,0,0,0
0,-6.324357695868357,1,-0.0001838310854509,0,0,1,0,17,-13.579242505945695,0,0,-3,0,0,0
0,-8.041908238927158,1,0.0008668328714575,0,1,1,0,6,-5.810286461407363,0,0,-1,0,6,0
0,-8.767058150573277,1,0.0003260827539099,0,0,1,0,5,-12.192948144825804,0,0,-14,0,0,0
0,-9.07943283561543,1,-0.0001865415211348,0,0,1,1,1,-8.246523712680325,0,0,-5,0,0,0
0,-8.767058150573277,0,0.0004349756328498,0,0,1,1,13,-8.467254717589151,1,0,-3,0,1,0
0,-10.023894444456282,1,-0.0002850905811,0,0,1,1,25,-6.801595912310578,0,0,-3,0,11,0
0,-7.437205100358338,1,0.0016946075927643,0,1,0,1,15,-6.801595912310578,0,0,-1,0,1,1
0,-8.791750763163648,1,0.0002826958802257,0,0,1,1,32,-8.41445653202218,0,0,-3,0,10,0
0,-7.762131345982491,0,-2.046472183903948e-05,0,1,1,1,2,-5.3795035453149085,0,1,-1,0,1,0
0,-6.794785443308052,0,0.0016648058864203,0,1,1,0,4,-8.659261580117569,0,0,-1,0,1,0
0,-6.794785443308052,0,0.0010821473681264,0,1,0,1,1,-8.659261580117569,0,0,-1,0,1,1
0,-6.256071788002225,0,1.4779242602262418e-06,0,1,0,1,28,-10.583510232391705,0,0,-1,0,1,0
0,-7.146302413206516,1,-0.0003404204760664,0,0,1,1,16,-5.975344537423814,0,0,-4,0,0,0
0,-6.256071788002225,0,0.0018712804963191,0,1,0,1,1,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,0,0.000550695336782,0,1,0,1,1,-9.468368641772383,0,1,-1,0,1,1
0,-6.794785443308052,0,0.0001573856461091,0,1,0,1,7,-6.433258038231307,1,0,-1,0,1,0
0,-8.696440583359324,1,4.693839323002976e-05,0,0,1,0,48,-5.3795035453149085,0,0,-3,0,5,0
0,-6.256071788002225,0,-0.000141125476131,0,1,0,1,20,-12.480630217277586,1,0,-1,0,1,0
0,-8.10697183227422,1,0.0005767588207328,0,1,0,1,20,-10.806653783705913,0,0,-1,0,2,1
0,-6.794785443308052,1,9.518591613168746e-06,0,1,0,0,3,-7.623405136480864,0,0,-1,0,2,0
0,-8.473297032045114,1,-6.617548752877551e-06,0,0,1,1,3,-7.762131345982491,0,0,-3,1,2,0
0,-6.549269594239308,1,0.0016625102106777,0,0,0,1,4,-10.360366681077494,0,0,-7,0,0,0
0,-8.10697183227422,1,-0.0002189389248264,0,1,0,1,9,-11.014293148484159,0,0,-1,0,2,0
0,-6.794785443308052,0,-0.0006415555557978,0,1,0,0,1,-9.222533679256102,0,0,-1,0,1,0
0,-8.10697183227422,0,-7.355866643289719e-05,0,0,0,0,1,-12.192948144825804,0,1,-3,0,1,0
0,-7.146302413206516,1,-0.0005470825465841,0,0,1,1,3,-8.115410700920085,0,0,-6,0,3,0
0,-6.195253047967186,1,0.0007995926319652,0,0,1,0,12,-9.89036305183176,0,0,-3,0,0,0
0,-9.841572887662327,1,0.0006767591431496,0,0,1,0,19,-11.78748303671764,0,0,-8,0,0,0
0,-6.195253047967186,1,0.0043826786739587,0,1,1,0,2,-9.59025845938142,0,0,-1,0,2,0
0,-6.195253047967186,1,0.0008133863368812,0,1,1,0,25,-11.094335856157695,0,0,1,0,0,0
0,-10.534720068222272,1,8.085760415769104e-05,0,0,1,1,26,-10.583510232391705,0,0,-3,0,0,0
0,-6.195253047967186,1,0.0010772369449817,0,1,1,1,2,-8.467254717589151,0,0,-1,0,5,0
0,-9.38958776391927,1,0.0015245341818387,0,0,1,0,2,-6.573453486692192,0,0,-3,0,5,0
0,-8.348133889091107,1,0.0006971813786281,0,0,1,1,7,-10.583510232391705,0,0,-5,0,0,0
0,-8.791750763163648,1,0.0002636184455246,0,0,1,1,13,-6.203360357730682,0,0,-6,0,0,0
0,-9.275177412741526,1,9.769048392399211e-05,0,0,1,0,22,-11.78748303671764,0,0,-9,0,0,0
0,-9.729094904235636,0,0.000106907227578,0,0,1,0,6,-7.17566830801088,1,0,-3,0,1,0
0,-9.627998787364268,1,0.0007092617944907,0,0,1,0,20,-9.374549886554728,0,0,-4,0,0,0
0,-9.94165634621931,1,-0.0008442945359949,0,0,1,1,12,-9.316562628904379,0,0,-10,0,0,0
0,-6.256071788002225,1,-0.0008357903880982,0,0,1,1,12,-12.192948144825804,0,0,-5,0,0,0
0,-6.549269594239308,1,0.0001806984315552,0,0,1,0,19,-9.420359422586023,0,0,-3,0,2,0
0,-8.944513517716059,1,-0.000516666462371,0,0,1,0,6,-11.276657412951648,0,0,-9,0,0,0
0,-6.256071788002225,0,-0.0006249119838078,0,1,1,0,9,-6.255411939743378,0,1,-1,0,1,0
0,-6.324357695868357,1,2.6092480913411653e-05,0,0,1,0,11,-9.38958776391927,0,0,-4,0,0,0
0,-6.794785443308052,1,2.036759769728064e-05,0,0,1,1,6,-10.871192304843484,0,0,-11,0,0,0
0,-8.041908238927158,1,0.0001945617554063,0,0,1,0,9,-7.786228897561551,0,0,-4,0,0,0
0,-7.623405136480864,1,-0.0034482360650331,0,1,1,0,5,-7.508504777943205,0,0,-1,0,0,0
0,-7.623405136480864,1,0.0014588906296661,0,1,1,0,2,-12.480630217277586,0,0,-1,0,0,0
0,-6.794785443308052,1,0.0001413448768503,0,0,1,1,30,-5.810286461407363,0,0,-4,0,0,0
0,-6.195253047967186,1,0.0004100414384312,0,1,1,0,5,-8.65198882078849,0,0,-1,0,2,0
0,-8.041908238927158,1,0.0002100418144156,0,0,1,0,16,-8.87876214015328,0,0,-3,0,1,0
0,-8.65198882078849,1,0.0006544292105922,0,0,1,0,8,-11.78748303671764,0,0,-14,0,0,0
0,-9.275177412741526,1,-3.981892924524288e-05,0,0,1,1,8,-6.2064961395413665,0,0,-6,0,0,0
0,-7.623405136480864,1,0.0006771530069056,0,0,0,1,14,-10.534720068222272,0,0,-3,0,8,1
0,-6.794785443308052,1,-6.11560904072491e-05,0,0,0,1,1,-6.2064961395413665,0,0,-4,0,0,0
0,-6.195253047967186,1,-2.6266943467290887e-05,0,0,1,0,13,-9.647416873221369,0,0,-5,0,0,0
0,-8.473297032045114,1,0.0003077784049495,0,1,0,1,40,-6.518766139945893,0,0,2,0,0,0
0,-6.256071788002225,1,0.0001231446304327,0,1,1,1,3,-6.518766139945893,0,0,2,0,0,0
0,-6.195253047967186,1,0.000259372148239,0,0,1,0,2,-12.480630217277586,0,0,-3,0,6,0
0,-7.623405136480864,0,5.942867522226031e-06,0,1,0,1,18,-5.3795035453149085,1,0,-1,0,1,1
0,-9.004531527442312,1,6.83368537940231e-05,0,0,1,0,26,-9.004531527442312,0,0,-3,0,5,0
0,-6.748368271299515,1,0.0005708821816369,0,1,1,1,24,-6.433258038231307,0,0,-1,0,4,0
0,-8.285937681221203,0,-0.0003753116443043,0,1,0,0,4,-5.975344537423814,0,0,-1,0,1,0
0,-6.794785443308052,0,0.0179790018924645,0,1,0,0,2,-7.146302413206516,0,1,-1,0,1,0
0,-6.794785443308052,0,0.0017325317645384,0,1,1,0,3,-6.926379476592348,1,0,-1,0,1,0
0,-6.794785443308052,1,-0.0063992907603581,0,1,0,0,3,-8.984122655811104,0,0,-1,1,0,0
0,-9.7506011094566,0,-0.0002813206342925,0,0,1,0,9,-8.588809919166959,0,1,-3,0,1,0
0,-6.195253047967186,0,-0.0002070219120663,0,1,0,0,1,-8.27593759788662,0,0,-1,0,1,1
0,-6.195253047967186,1,-0.0002319524167003,0,1,0,1,2,-11.499800964265859,0,0,-1,0,0,0
0,-6.195253047967186,0,0.0041411530103657,0,1,0,0,2,-6.203360357730682,0,0,-1,0,1,1
0,-6.195253047967186,1,0.0002548295896037,0,1,0,1,33,-5.810286461407363,0,0,-1,0,2,0
0,-6.195253047967186,1,0.0006168825758828,0,1,0,0,2,-12.192948144825804,0,0,-1,0,0,0
0,-8.473297032045114,0,0.0239203626378661,0,1,0,0,1,-5.975344537423814,1,0,-1,0,1,0
0,-6.794785443308052,1,0.0014890023108039,0,1,0,0,1,-9.94165634621931,0,0,-1,0,0,0
0,-6.794785443308052,0,0.0026934134995653,0,1,0,0,5,-6.748368271299515,0,1,-1,0,1,0
0,-9.275177412741526,0,0.0005036440966596,0,1,1,1,4,-9.275177412741526,0,1,-1,0,1,0
0,-8.10697183227422,0,0.0046476132490418,0,1,1,1,6,-11.014293148484159,0,1,-1,0,1,0
0,-6.549269594239308,1,8.179226765048361e-05,0,0,0,1,15,-12.480630217277586,0,0,-5,0,0,1
0,-8.944513517716059,1,0.0012146702220479,0,0,0,1,1,-12.480630217277586,0,0,-12,0,0,0
0,-6.256071788002225,0,-7.342727854847946e-05,0,1,0,1,7,-6.60476359492065,0,0,-1,0,1,0
0,-8.041908238927158,1,0.002247773301907,0,1,0,0,4,-5.810286461407363,0,0,-1,0,5,0
0,-8.251366337156114,1,0.0089801896053055,0,1,0,0,1,-5.3795035453149085,0,0,-1,0,3,0
0,-8.246523712680325,1,0.0013922518282605,0,1,1,0,11,-8.090304779789008,0,0,-1,0,0,0
0,-9.07943283561543,0,0.0001941829140545,0,1,1,1,6,-11.276657412951648,0,1,-1,0,1,0
0,-8.10697183227422,0,0.0001127756780847,0,1,1,1,5,-8.232134975228226,0,0,-1,0,1,0
0,-6.256071788002225,1,-0.000132630844057,0,0,1,1,8,-12.88609532538575,0,0,-4,0,0,0
0,-6.256071788002225,0,-8.709964314430104e-05,0,0,1,1,14,-8.251366337156114,0,0,-3,0,1,0
0,-6.256071788002225,0,-6.439196040878593e-05,0,0,1,1,27,-8.280925139397658,0,0,-3,0,1,0
0,-7.623405136480864,1,-0.0003063396627504,0,0,1,0,28,-9.288783064797304,0,0,-5,0,0,0
0,-6.195253047967186,0,0.0004445519541621,0,1,1,1,5,-8.595635884237359,0,1,-1,0,1,0
0,-6.195253047967186,1,0.0012026340797029,0,1,1,0,9,-9.113334387291111,0,0,-1,0,4,0
0,-6.195253047967186,1,0.0003206958909603,0,0,1,0,1,-10.68887074804953,0,0,-8,0,0,0
0,-9.627998787364268,1,-0.0003436487370535,0,0,1,0,4,-8.588809919166959,0,0,-14,0,0,0
0,-9.004531527442312,1,0.0001178005960775,0,0,1,0,2,-11.499800964265859,0,0,-4,0,0,0
0,-9.968324593301471,1,0.0003307722576394,0,0,1,1,2,-10.746029161889478,0,0,-20,0,0,0
0,-9.841572887662327,1,0.002130048473676,0,0,1,0,6,-5.810286461407363,0,0,-3,0,1,0
0,-8.65198882078849,1,0.0001113235087292,0,0,1,1,9,-10.40118867559775,0,0,-3,0,0,0
0,-9.729094904235636,0,-0.0002015869596541,0,0,0,0,1,-5.3795035453149085,0,1,-3,0,1,1
0,-6.256071788002225,1,-0.0003569511075814,0,1,0,0,1,-7.344831780227323,0,0,-1,0,3,1
0,-9.772580016175375,1,-2.689005515842276e-05,0,0,1,0,9,-10.534720068222272,0,0,-5,0,0,0
0,-11.014293148484159,1,0.0049301233183551,0,0,1,0,6,-12.88609532538575,0,0,-3,0,0,0
0,-8.041908238927158,1,-0.0001176570803515,0,1,1,1,4,-9.113334387291111,0,0,-1,0,3,0
0,-8.27593759788662,1,-0.0002556675355191,0,0,0,1,1,-5.3795035453149085,0,0,-3,0,2,0
0,-6.2064961395413665,1,-0.0011559937440874,0,1,0,1,1,-9.667219500517549,0,0,-1,0,0,1
0,-6.256071788002225,0,0.0002164460186447,0,1,1,0,2,-5.3795035453149085,0,0,-1,0,1,0
0,-6.195253047967186,1,0.0002269710953298,0,1,1,0,17,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,5.906650483438391e-05,0,1,1,0,15,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,0,0.0001269296225574,0,1,0,0,1,-8.431748029132242,0,1,-1,0,1,1
0,-6.195253047967186,1,0.000714152514614,0,1,1,0,19,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,-6.73553450799072e-06,0,1,0,1,11,-5.810286461407363,0,0,-1,0,7,1
0,-6.195253047967186,1,0.0006408008393415,0,0,1,1,13,-6.549269594239308,0,0,-4,0,0,0
0,-8.767058150573277,1,0.0001366904437326,0,1,1,0,4,-10.360366681077494,0,0,5,1,0,0
0,-8.86971230463336,0,0.0001504895136672,0,0,1,0,33,-5.3795035453149085,0,1,-3,0,1,0
0,-8.791750763163648,1,0.000982197581066,0,0,1,1,1,-12.192948144825804,0,0,-3,0,0,0
0,-9.841572887662327,1,0.0008637624526662,0,0,1,1,1,-6.433258038231307,0,0,-3,0,5,0
0,-6.324357695868357,1,0.0004009953213962,0,0,1,1,5,-8.467254717589151,0,0,-10,0,0,0
0,-9.772580016175375,1,0.0001831421993239,0,0,1,1,6,-8.984122655811104,0,0,-3,0,2,0
0,-8.041908238927158,1,0.0008594779472045,0,0,1,0,10,-6.433258038231307,0,0,-4,0,0,0
0,-8.954269692661423,1,0.0008650593631783,0,0,1,1,9,-6.748368271299515,0,0,-3,0,5,0
0,-9.07943283561543,1,9.24394405563975e-05,0,0,1,1,10,-7.437205100358338,0,0,-23,0,0,0
0,-8.86971230463336,1,0.000313434143399,0,0,1,1,36,-6.433258038231307,0,0,-4,0,0,0
0,-6.794785443308052,1,0.0008832235446205,0,0,1,0,30,-8.232134975228226,0,0,-3,0,2,0
