matrix_subject1v2,matrix_subject1v3,matrix_subject1v4,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,subject_form_CC_subject1v4,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that_omission,uid,genre
0,0,1,-8.576617852581057,0,-11.317457876506259,0,0,1,5,0,0,-14,0,3.4339872044851463,1
0,0,1,-8.966082619342782,0,-7.967553789231654,0,0,1,1,0,0,-5,0,1.6582280766035324,1
0,0,1,-8.576617852581057,0,-8.226415423147943,1,0,0,13,0,1,-3,0,3.4339872044851463,1
0,1,0,-7.405434871078112,0,-7.328473829941984,0,0,1,15,0,1,-1,1,3.2188758248682006,0
0,0,1,-8.544869154266477,0,-8.514097495599724,0,0,1,32,0,10,-3,0,1.3862943611198906,1
0,0,1,-7.5679538005758875,0,-5.497374946153897,0,1,0,2,0,1,-1,1,3.3440389678222067,0
0,1,0,-7.5679538005758875,0,-12.010605057066204,0,0,1,6,0,0,-1,1,3.3440389678222067,0
0,0,1,-6.654018782394191,0,-8.544869154266477,0,0,0,4,0,1,-1,1,1.9892904446855384,0
0,1,0,-6.654018782394191,0,-8.544869154266477,0,0,0,1,0,1,-1,1,1.9892904446855384,1
0,0,0,-6.1641662820084795,0,-10.624310695946313,0,0,0,28,0,1,-1,1,2.901999795891284,0
0,0,0,-6.654018782394191,0,-5.497374946153897,0,0,1,1,0,0,-2,1,1.9892904446855384,0
0,0,1,-7.328473829941984,0,-8.609407675404048,0,1,0,16,0,1,-1,1,2.890371757896165,1
0,0,1,-7.328473829941984,0,-8.544869154266477,0,0,1,9,0,0,-2,1,2.890371757896165,0
0,0,1,-7.328473829941984,0,-6.08101591367631,0,0,1,16,0,0,-4,0,2.890371757896165,0
0,0,0,-6.654018782394191,0,-6.419618076555347,0,0,1,1,0,0,-1,1,1.9892904446855384,0
0,0,1,-6.654018782394191,0,-12.010605057066204,0,0,1,10,0,0,-1,1,1.9892904446855384,1
0,0,0,-6.1641662820084795,0,-5.862136761148557,0,1,0,1,0,1,-1,1,2.901999795891284,1
0,1,0,-6.199464064089503,0,-9.302554855963994,0,1,0,1,0,1,-1,1,1.157180642819177,0
0,1,0,-9.302554855963994,0,-10.218845587838148,0,0,1,5,0,0,-2,1,2.70805020110221,0
0,0,1,-6.654018782394191,0,-7.006658751120745,0,0,1,0,0,0,-1,1,1.9892904446855384,0
0,0,1,-6.542544915931073,0,-5.497374946153897,0,0,0,0,0,1,-1,1,2.423537703411708,0
0,0,0,-6.654018782394191,0,-6.419618076555347,1,0,0,7,0,1,-1,1,1.9892904446855384,1
0,0,0,-6.654018782394191,0,-8.347043410936557,0,0,1,1,0,0,-1,1,1.9892904446855384,0
0,0,1,-9.066166077899764,0,-11.317457876506259,0,0,1,14,0,0,-2,1,1.845826690498331,0
1,0,0,-7.328473829941984,0,-9.525698407278204,0,0,1,30,0,0,-1,1,2.890371757896165,0
0,0,1,-9.066166077899764,0,-5.497374946153897,0,0,1,48,0,5,-3,0,1.845826690498331,0
0,0,0,-6.1641662820084795,0,-12.010605057066204,1,0,0,20,0,1,-1,1,2.901999795891284,0
0,0,0,-9.014872783512212,0,-8.347043410936557,0,0,1,1,0,0,-1,1,2.995732273553991,1
0,0,0,-9.014872783512212,0,-8.118784758955577,0,0,1,1,0,0,-1,1,2.995732273553991,0
0,1,0,-8.347043410936557,0,-10.624310695946313,0,0,1,20,0,2,-1,1,1.3609765531356008,0
0,0,0,-6.654018782394191,0,-7.4673102747962,0,0,1,3,0,2,-1,1,1.9892904446855384,1
0,0,1,-8.203942567295885,1,-7.5679538005758875,0,0,1,3,0,2,-3,0,2.70805020110221,0
0,0,1,-6.199464064089503,0,-5.862136761148557,0,1,0,6,0,1,6,1,1.157180642819177,1
0,0,0,-6.542544915931073,0,-10.218845587838148,0,0,1,4,0,0,-7,0,2.423537703411708,1
0,0,0,-8.347043410936557,0,-10.401167144632103,0,0,1,9,0,2,-1,1,1.3609765531356008,1
