,lemme,frequence,taux d'omission,uid
0,tell,622,0.6640316205533597,2.19883358814192
1,know,1515,0.7154811715481172,2.7692938263429285
2,determine,61,0.5,4.110873864173311
3,show,1415,0.3048780487804878,4.952299717083292
4,find,832,0.48936170212765956,3.4279955748168796
5,feel,465,0.5753424657534246,3.7441421327889857
6,ask,391,0.9014084507042254,2.972975286431375
7,believe,254,0.47586206896551725,2.07159836421881
8,hope,158,0.7592592592592593,1.2124474313169082
9,explain,133,0.3125,3.0985896589936988
10,require,147,0.5714285714285714,3.6041382256588457
11,say,1610,0.8487752928647497,1.5146925448447344
12,provide,341,0.42857142857142855,5.1387352967235715
13,suggest,123,0.35294117647058826,2.327277705584417
14,note,90,0.15217391304347827,2.4203681286504293
15,conclude,35,0.23809523809523808,2.8622008809294686
16,make sure,120,0.6464646464646465,1.455287232606842
17,write,336,0.6666666666666666,3.871201010907891
18,think,884,0.8354203935599285,2.1210179685255763
19,be,2366,0.8064516129032258,5.204006687076795
20,see,1130,0.7471264367816092,2.767293034665071
21,be sure,132,0.6867469879518072,2.3178525651248343
22,wish,85,0.9,2.1400661634962708
23,hear,238,0.7209302325581395,2.1764338076671454
24,learn,165,0.5652173913043478,3.0265039322207445
25,reply,15,0.8,2.70805020110221
26,reveal,42,0.36363636363636365,3.044522437723423
27,suspect,33,0.5333333333333333,2.803360380906535
28,convince,21,0.42857142857142855,3.044522437723423
29,state,66,0.3902439024390244,2.243744592971112
30,recommend,187,0.4117647058823529,3.2851984677992734
31,assume,74,0.5897435897435898,2.512305623976115
32,recognize,47,0.07142857142857142,3.1570004211501135
33,announce,52,0.10526315789473684,3.258096538021482
34,admit,38,0.34782608695652173,2.538973871058276
35,agree,103,0.20833333333333334,3.536116699561526
36,mean,386,0.6410256410256411,2.5218501649796847
37,decide,138,0.5652173913043478,3.828641396489095
38,notice,74,0.38461538461538464,2.2246235515243336
39,guess,62,0.9375,1.824549292051046
40,mention,102,0.4666666666666667,3.9318256327243257
41,report,97,0.16,3.4760986898352733
42,indicate,56,0.4375,2.4159137783010487
43,give,926,0.38461538461538464,5.221436322212079
44,remember,199,0.6607142857142857,2.1578106087953426
45,be glad,46,0.7727272727272727,1.5260563034950494
46,suppose,103,0.68,2.6888188391743224
47,imagine,77,0.7083333333333334,2.0412203288596382
48,understand,206,0.6739130434782609,2.619825967687371
49,consider,207,0.4444444444444444,4.23410650459726
50,add,240,0.8125,3.4011973816621555
51,advise,37,0.18181818181818182,3.6109179126442243
52,be aware,42,0.2727272727272727,2.639057329615259
53,argue,45,0.03225806451612903,3.8066624897703196
54,doubt,13,0.5454545454545454,1.8718021769015913
55,love,201,0.625,3.917010546939185
56,make,1592,0.675,5.0701612734102826
57,ensure,111,0.2647058823529412,2.2246235515243336
58,propose,102,0.2727272727272727,3.9318256327243257
59,have,3640,0.9682539682539683,4.26791332790646
60,observe,67,0.3076923076923077,3.1060803307228566
61,signal,15,0.16666666666666666,2.0149030205422647
62,expect,144,0.18181818181818182,4.969813299576001
63,demonstrate,41,0.2857142857142857,3.713572066704308
64,seem,314,0.5416666666666666,4.650780697240144
65,check,135,0.5,4.212127597878484
66,forget,78,0.6363636363636364,3.258096538021482
67,realise,14,0.2222222222222222,2.639057329615259
68,declare,40,0.2,2.995732273553991
69,exclaim,10,0.3333333333333333,2.3025850929940455
70,recall,27,0.4,2.6026896854443837
71,realize,61,0.4473684210526316,2.501435951739211
72,concern,50,0.5,3.912023005428146
73,predict,22,0.4,3.0910424533583156
74,bet,11,0.8333333333333334,1.7047480922384253
75,discover,54,0.5,3.295836866004329
76,promise,42,0.6666666666666666,3.044522437723423
77,discuss,146,0.6,3.884994333040227
78,comment,25,0.6,2.120263536200091
79,estimate,62,0.7,4.127134385045092
80,guarantee,36,0.3333333333333333,2.890371757896165
81,read,206,0.75,3.9415818076696905
82,be happy,73,0.8333333333333334,2.9041650800285006
83,protest,11,0.6666666666666666,1.2992829841302609
84,like,843,0.16666666666666666,6.736966958001855
85,prove,63,0.09090909090909091,4.143134726391533
86,lie,116,0.3333333333333333,4.7535901911063645
87,claim,82,0.35294117647058826,2.0088239744658827
88,charge,68,0.8,4.219507705176107
89,assure,21,0.5333333333333333,1.6582280766035324
90,rule,19,0.3333333333333333,2.9444389791664407
91,inform,41,0.058823529411764705,3.713572066704308
92,turn,231,0.5,4.343805421853684
93,demand,31,0.3333333333333333,2.3353749158170367
94,be clear,44,0.6666666666666666,3.784189633918261
95,fear,19,0.5,2.9444389791664407
96,be afraid,36,0.5555555555555556,2.1972245773362196
97,confirm,54,0.5789473684210527,2.6026896854443837
98,keep,400,0.5555555555555556,4.382026634673881
99,list,608,0.6666666666666666,5.311562593298057
100,get,1597,0.8888888888888888,5.178657570878793
101,insist,14,0.375,1.540445040947149
102,pretend,17,0.6666666666666666,2.833213344056216
103,offer,182,0.5,5.204006687076795
104,be pleased,29,0.3333333333333333,2.6741486494265287
105,post,67,0.5,4.204692619390966
106,represent,88,0.75,3.784189633918261
107,appear,166,0.6666666666666666,4.418840607796598
108,sound,72,0.6666666666666666,4.276666119016055
109,specify,31,0.16666666666666666,2.740840023925201
110,use,1103,0.8571428571428571,7.005789019253503
111,. be,27,0.5,2.6026896854443837
112,order,72,0.5,4.276666119016055
113,take,1269,0.6,6.452837287154442
114,verify,12,0.16666666666666666,1.791759469228055
115,pray,11,0.3333333333333333,2.3978952727983707
116,warn,16,0.3333333333333333,2.772588722239781
117,be likely,73,0.75,4.290459441148391
118,. sorry,22,0.5,3.0910424533583156
119,be certain,13,0.25,2.5649493574615367
120,appreciate,56,0.6666666666666666,4.02535169073515
121,request,51,0.5,3.9318256327243257
122,record,49,0.5,3.1986731175506815
