lemma:id	cchead:id	that	sentence
tell:19	much:22	0	 again i will repeat i want to make a one way flight from boston to atlanta will you tell me how much the fares are i would like the cheapest fare

know:5	Los:10	0	 i would like to know what airports are in los angeles

tell:2	have:6	0	 please tell me which airline has the most departures from atlanta

know:4	be:7	0	 i need to know if there are any direct flights from st. petersburg florida to tacoma washington leaving preferably tomorrow morning

determine:6	use:10	0	 sure i 'd like to determine what aircraft are use on july seventh leaving from boston and arriving in atlanta on july seventh

tell:2	be:9	0	 please tell me how many nonstop flights there are from boston to atlanta

tell:3	serve:9	0	 could you tell me if delta flight 296 serves breakfast

tell:12	use:19	0	 on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555

tell:11	use:17	0	 on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon

tell:3	use:8	0	 can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city

tell:3	be:7	0	 could you tell me if there is ground transportation between the boston airport and boston downtown

show:1	stand:7	0	 show me what fare codes symbols stand for

tell:3	stand:9	0	 could you tell me what the abbreviation us stands for

tell:7	leave:11	0	 okay i 'm sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o'clock

tell:3	fly:7	0	 can you tell me what airline flies between denver and san francisco

tell:1	have:5	0	 tell me which airlines have flights from pittsburgh to san francisco on monday september second

tell:13	available:20	0	 i will be staying downtown in atlanta for two hours could you tell me what the ground transportation is available

tell:3	available:9	0	 could you tell me what morning flights are available from oakland to denver before 10 am

tell:14	cheap:21	0	 on september fourth i 'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest

show:3	available:8	0	 can you show me what fares are available from oakland to dallas on december sixteenth one way only

find:6	available:10	0	 yes i would like to find what flights are available from atlanta to boston on the morning of july seventh

show:3	available:8	0	 can you show me what flights are available on december sixteen going from oakland to dallas

tell:4	leaf:8	0	 okay could you tell me what flight leaves dallas to san francisco by united airline

tell:3	flight:6	0	 can you tell me what flights you have from baltimore to dallas

tell:3	get:7	0	 can you tell me how to get from the airport in philadelphia to downtown

know:5	have:8	0	 i 'd like to know if you have any flights from denver to philadelphia

feel:7	appropriate:20	0	 Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.

ask:3	reconsider:6	1	 I would ask that they reconsider, since this is not the case.

believe:13	need:16	1	 This is not just the fault of the Commission, but I believe that we need to take action more quickly so as to achieve harmonisation in this area as well.

believe:3	do:7	1	 But I believe that we should do all we can to keep the transport of dangerous goods to a minimum, in all countries, whether they are transit countries or not.

hope:2	take:7	0	 I hope my proposal will be taken into consideration in tomorrow's vote.

ask:5	position:15	0	 I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible.

tell:17	what:20	0	 I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible.

explain:23	speak:29	1	 Mr President, I would very much like to thank Mrs Schroedter for the work she has done on this and to explain to colleagues that I am speaking for my colleague, Mrs Flautre, who followed this for the Committee on Employment and Social Affairs but who is unfortunately ill.

believe:10	take:30	1	 The truth of the matter though is that we believe - and this is also shown in the way the conclusions have been drafted - that the Commission must take account of what is adopted by this Parliament, particularly in the face of an interim revision of these Directives.

