,lemme,frequence,taux d'omission,uid
0,suggest,31,0.2222222222222222,3.4339872044851463
1,note,21,0.25,1.6582280766035324
2,feel,100,0.75,3.2188758248682006
3,make sure,32,0.6129032258064516,1.3862943611198906
4,write,85,0.75,3.3440389678222067
5,think,212,0.8201438848920863,1.9892904446855384
6,know,346,0.7380952380952381,2.901999795891284
7,tell,108,0.6206896551724138,2.890371757896165
8,say,334,0.9144144144144144,1.157180642819177
9,determine,15,0.5,2.70805020110221
10,see,237,0.7380952380952381,2.423537703411708
11,be sure,19,0.6153846153846154,1.845826690498331
12,wish,20,0.8571428571428571,2.995732273553991
13,hear,39,0.9,1.3609765531356008
14,learn,45,0.5,2.70805020110221
15,reveal,15,0.3333333333333333,2.70805020110221
16,state,13,0.625,1.466337068793427
17,recommend,10,0.3333333333333333,1.6094379124341003
18,assume,17,0.2857142857142857,2.833213344056216
19,show,102,0.20833333333333334,3.5263605246161616
20,believe,46,0.48,2.03688192726104
21,mean,94,0.6428571428571429,2.751535313041949
22,decide,33,0.3333333333333333,2.803360380906535
23,notice,17,0.4,1.7346010553881064
24,hope,16,0.7,1.1631508098056809
25,mention,16,0.5,2.772588722239781
26,report,21,0.25,2.3513752571634776
27,indicate,12,0.5,2.4849066497880004
28,give,140,0.25,4.248495242049359
29,remember,48,0.7692307692307693,1.791759469228055
30,be glad,11,0.8,1.2992829841302609
31,suppose,27,0.5,2.6026896854443837
32,imagine,14,0.6666666666666666,1.9459101490553135
33,understand,56,0.8571428571428571,2.639057329615259
34,consider,57,0.5,3.349904087274605
35,be aware,10,0.3333333333333333,1.6094379124341003
36,ensure,24,0.36363636363636365,1.5686159179138452
37,find,149,0.36363636363636365,2.9245047642656234
38,observe,25,0.4,2.5257286443082556
39,seem,51,0.3333333333333333,3.2386784521643803
40,check,22,0.3333333333333333,3.0910424533583156
41,forget,16,0.6666666666666666,2.0794415416798357
42,realize,11,0.42857142857142855,1.7047480922384253
43,explain,28,0.2,2.639057329615259
44,estimate,17,0.75,2.833213344056216
45,claim,20,0.35714285714285715,1.6094379124341003
